"created_at","updated_at",id,"name","slug","starts_at","ends_at","description",is_featured,is_all_day,old_id
"2014-12-11 23:50:55","2014-12-11 23:50:55",123,"2nd Sunday of Lent","2nd-sunday-of-lent","2012-03-04 10:00:00","2012-03-04 11:00:00","",0,0,123
"2014-12-11 23:50:55","2014-12-11 23:50:55",124,"Communion Service","communion-service","2012-03-04 10:00:00","2012-03-04 11:00:00","",0,0,124
"2014-12-11 23:50:56","2014-12-11 23:50:56",125,"Sunday Alive!","sunday-alive","2012-03-04 10:10:00","2012-03-04 11:10:00","",0,0,125
"2014-12-11 23:50:56","2014-12-11 23:50:56",126,"6th Grade Confirmation","6th-grade-confirmation","2012-03-04 10:10:00","2012-03-04 11:10:00","",0,0,126
"2014-12-11 23:50:57","2014-12-11 23:50:57",127,"Worship & Music Ministry","worship-music-ministry","2012-03-04 12:00:00","2012-03-04 13:00:00","",0,0,127
"2014-12-11 23:50:57","2014-12-11 23:50:57",128,"Boy Scouts","boy-scouts","2012-03-05 19:00:00","2012-03-05 20:00:00","",0,0,128
"2014-12-11 23:50:57","2014-12-11 23:50:57",129,"Youth Meeting","youth-meeting","2012-03-06 19:00:00","2012-03-06 20:00:00","",0,0,129
"2014-12-11 23:50:58","2014-12-11 23:50:58",130,"Mid Week Devotionals","mid-week-devotionals","2012-03-07 12:00:00","2012-03-07 13:00:00","",0,0,130
"2014-12-11 23:50:58","2014-12-11 23:50:58",131,"Midweek Luncheon","midweek-luncheon","2012-03-07 12:30:00","2012-03-07 13:30:00","",0,0,131
"2014-12-11 23:50:58","2014-12-11 23:50:58",132,"Lenten Supper","lenten-supper","2012-03-07 18:00:00","2012-03-07 19:00:00","",0,0,132
"2014-12-11 23:50:59","2014-12-11 23:50:59",133,"Lenten Study","lenten-study","2012-03-07 19:00:00","2012-03-07 20:00:00","",0,0,133
"2014-12-11 23:50:59","2014-12-11 23:50:59",134,"Rock Club","rock-club","2012-03-07 18:30:00","2012-03-07 19:30:00","",0,0,134
"2014-12-11 23:51:00","2014-12-11 23:51:00",135,"AA Meeting","aa-meeting","2012-03-07 20:00:00","2012-03-07 21:00:00","",0,0,135
"2014-12-11 23:51:00","2014-12-11 23:51:00",136,"TOPS","tops","2012-03-08 18:30:00","2012-03-08 19:30:00","",0,0,136
"2014-12-11 23:51:00","2014-12-11 23:51:00",137,"Bell Ringers","bell-ringers","2012-03-08 18:45:00","2012-03-08 19:45:00","",0,0,137
"2014-12-11 23:51:01","2014-12-11 23:51:01",138,"Chancel Choir","chancel-choir","2012-03-08 19:30:00","2012-03-08 20:30:00","",0,0,138
"2014-12-11 23:51:01","2014-12-11 23:51:01",139,"Special Adults Class - SCSA","special-adults-class-scsa","2012-03-10 13:00:00","2012-03-10 15:00:00","",0,0,139
"2014-12-11 23:51:01","2014-12-11 23:51:01",140,"AA Meeting","aa-meeting","2012-03-10 20:00:00","2012-03-10 21:00:00","",0,0,140
"2014-12-11 23:51:02","2014-12-11 23:51:02",141,"3rd Sunday of Lent","3rd-sunday-of-lent","2012-03-11 10:00:00","2012-03-11 11:00:00","",0,0,141
"2014-12-11 23:51:02","2014-12-11 23:51:02",142,"Communion Service","communion-service","2012-03-11 10:00:00","2012-03-11 11:00:00","",0,0,142
"2014-12-11 23:51:02","2014-12-11 23:51:02",143,"Sunday Alive!","sunday-alive","2012-03-11 10:10:00","2012-03-11 11:10:00","",0,0,143
"2014-12-11 23:51:03","2014-12-11 23:51:03",144,"Church Council","church-council","2012-03-12 19:00:00","2012-03-12 20:00:00","",0,0,144
"2014-12-11 23:51:03","2014-12-11 23:51:03",145,"Boy Scouts","boy-scouts","2012-03-12 19:00:00","2012-03-12 20:00:00","",0,0,145
"2014-12-11 23:51:04","2014-12-11 23:51:04",146,"Work Day","work-day","2012-03-13 09:00:00","2012-03-13 10:00:00","",0,0,146
"2014-12-11 23:51:04","2014-12-11 23:51:04",147,"7th & 8th Confirmation","7th-8th-confirmation","2012-03-13 19:00:00","2012-03-13 20:00:00","",0,0,147
"2014-12-11 23:51:04","2014-12-11 23:51:04",148,"Midweek Devotional","midweek-devotional","2012-03-14 12:00:00","2012-03-14 13:00:00","",0,0,148
"2014-12-11 23:51:05","2014-12-11 23:51:05",149,"Midweek Luncheon","midweek-luncheon","2012-03-14 12:30:00","2012-03-14 13:30:00","",0,0,149
"2014-12-11 23:51:05","2014-12-11 23:51:05",150,"Lenten Supper","lenten-supper","2012-03-14 18:00:00","2012-03-14 19:00:00","",0,0,150
"2014-12-11 23:51:05","2014-12-11 23:51:05",151,"Lenten Study","lenten-study","2012-03-14 19:00:00","2012-03-14 20:00:00","",0,0,151
"2014-12-11 23:51:06","2014-12-11 23:51:06",152,"AA Meeting","aa-meeting","2012-03-14 20:00:00","2012-03-14 21:00:00","",0,0,152
"2014-12-11 23:51:06","2014-12-11 23:51:06",153,"Bell Ringers","bell-ringers","2012-03-15 18:45:00","2012-03-15 19:45:00","",0,0,153
"2014-12-11 23:51:07","2014-12-11 23:51:07",154,"Chancel Choir","chancel-choir","2012-03-15 19:30:00","2012-03-15 20:30:00","",0,0,154
"2014-12-11 23:51:07","2014-12-11 23:51:07",155,"TOPS","tops","2012-03-15 18:30:00","2012-03-15 19:30:00","",0,0,155
"2014-12-11 23:51:07","2014-12-11 23:51:07",156,"Movie Night","movie-night","2012-03-16 19:00:00","2012-03-16 20:00:00","",0,0,156
"2014-12-11 23:51:08","2014-12-11 23:51:08",157,"AA Meeting","aa-meeting","2012-03-17 20:00:00","2012-03-17 21:00:00","",0,0,157
"2014-12-11 23:51:08","2014-12-11 23:51:08",158,"4th Sunday of Lent","4th-sunday-of-lent","2012-03-18 10:00:00","2012-03-18 11:00:00","",0,0,158
"2014-12-11 23:51:08","2014-12-11 23:51:08",159,"Communion Service","communion-service","2012-03-18 10:00:00","2012-03-18 11:00:00","",0,0,159
"2014-12-11 23:51:09","2014-12-11 23:51:09",160,"Sunday Alive!","sunday-alive","2012-03-18 10:10:00","2012-03-18 11:10:00","",0,0,160
"2014-12-11 23:51:10","2014-12-11 23:51:10",161,"6th Grade Confirmation","6th-grade-confirmation","2012-03-18 10:10:00","2012-03-18 11:10:00","",0,0,161
"2014-12-11 23:51:10","2014-12-11 23:51:10",162,"Teen Choir","teen-choir","2012-03-18 11:30:00","2012-03-18 12:30:00","",1,0,162
